User,U080Y31KUE7
Display name,Skylar
Response,:neofox_laptop_owo:
User,U081ENVL1K2
Display name,Thomas R
Response,mewo
User,U080Y31KUE7
Display name,Skylar
Response,:neofox_sign_yip:
User,U080Y31KUE7
Display name,Skylar
Response,:neofox_owo_blep:
User,U080Y31KUE7
Display name,Skylar
Response,:neofox_snuggle_cat:
User,U081ENVL1K2
Display name,Thomas R
Response,meow
User,U080Y31KUE7
Display name,Skylar
Response,Bank
User,U081ENVL1K2
Display name,Thomas R
Response,bank
User,U080Y31KUE7
Display name,Skylar
Response,Bank
User,U081ENVL1K2
Display name,Thomas R
Response,capitalism
User,U080Y31KUE7
Display name,Skylar
Response,Bank
User,U081ENVL1K2
Display name,Thomas R
Response,Magnanimous
User,U080Y31KUE7
Display name,Skylar
Response,Capitalism communism
User,U081ENVL1K2
Display name,Thomas R
Response,blasphemy sacrilege profanation desecration violation infringement
User,U080Y31KUE7
Display name,Skylar
Response,"Bank, bank, bank, bank, bank, bank, bank, bank"
User,U081ENVL1K2
Display name,Thomas R
Response,bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank bank
User,U080Y31KUE7
Display name,Skylar
Response,Communism Communism Communism Communism Communism Communism Communism Communism Communism Communism Communism Communism Communism Communism Communism Communism Communism CommunismCommunism Communism Communism Communism Communism Communism Communism Communism Communism
User,U080Y31KUE7
Display name,Skylar
Response,Bank bank bank bank bank bank bank bank bank bank bank banl bank bank bank bank bank bank
User,U080Y31KUE7
Display name,Skylar
Response,I hate you too
User,U080Y31KUE7
Display name,Skylar
Response,I hate you thom ASS
User,U081ENVL1K2
Display name,Thomas R
Response,:neofox_sad_reach:
